record_id,teacher_id,teacher_name,state,district,block,school_id,school_name,subject,grade,project_id,project_title,submission_date,status,student_count,pre_test_score,post_test_score,improvement_raw,training_hours,mentor_name,feedback_rating,last_updated,remarks
1,T1015, Rahul Kaur ,Uttar Pradesh,Amritsar,Block B,SCH009,Govt High School West,English  ,Ten,MI10004,Improving basic numeracy,2025-01-28,In-Review,,25,42,17%,14.0,Simran Kaur,2,2025-02-02 00:00:00,Need support with data entry
2,T1078,Rohit Kumar,Nagaland,Gaya,Block D,SCH006,Mission School West,MATH,Ten,MI10009,Improving basic numeracy,2025-03-26,Approved,34,12,19,7,13.0,Anamika Singh,5,2025-03-29 00:00:00,Great improvement shown
3,T1072, Suresh Kaur ,Uttar Pradesh,Patna,Block B,SCH053,Govt High School Central,Mathematic  ,10,MI10117,Peer learning circles,23/04/2025,Draft,55,58,57,-1,4.4,Ravi Kumar,1,2025-04-23 00:00:00,Need support with data entry
4,T1077,Priya Yadav,Nagaland,Kohima,Urban,SCH017,Govt High School No. 1,SOC SCI  ,IX,MI10099,Science lab activities,2025-01-15,Draft,38,64,83,19,15.3,Anamika Singh,5,2025-01-15 00:00:00,
5,T1040,Suresh Kumar,Punjab,Gaya,Block A,SCH047,Model School No. 1,sci,8,MI10061,Peer learning circles,2025-01-22, SUBMITTED,32,69,88,19,2.4,Ravi Kumar,NA,2025-01-22 00:00:00,
6,T1008, Suresh Kumar ,Bihar,Varanasi,Block A,SCH033,ZP School Central,SOC SCI,8th,MI10017,Peer learning circles,2025-03-15,SUBMITTED,57,24,22,-2,2.0,John Doe,1,2025-03-18 00:00:00,Great improvement shown
7,T1036,Sunita Devi,Bihar,Kohima,Urban,SCH007,Govt High School West,Math,7,MI10109,Reading fluency project,2025-01-22,Rejected,56,7,7,0,19.9,Anamika Singh,4,2025-01-24 00:00:00,Great improvement shown
8,T1070,Rahul Kaur,Uttar Pradesh,Patna,Block A,SCH038,Model School West,sci,8,MI10066,Improving basic numeracy,2025-04-19,In-Review,30+,30,37,7,10.5,Simran Kaur,3,2025-04-22 00:00:00,Follow-up visit required
9,T1041,Priya Kumar,Nagaland,Gaya,Block A,SCH035,ZP School West,maths,8,MI10113,Improving basic numeracy,2025-04-23,Approved,74,38,52,14,2 hrs,Ravi Kumar,1,2025-05-01 00:00:00,Great improvement shown
10,T1027,Rohit Das,Nagaland,Lucknow,Block A,SCH006,Model School Central,Math,6,MI10017,Science lab activities,21/01/2025,In-Review,76,1,-1,-2,2 hrs,Ravi Kumar,NA,2025-01-26 00:00:00,Need support with data entry
11,T1014,Neha Das,Nagaland,Ludhiana,Block B,SCH056,ZP School No. 2,Mathematic  ,6,MI10119,Science lab activities,11-04-25,SUBMITTED,36,34,34,0,6.1,Ravi Kumar,2,2025-04-17 00:00:00,Follow-up visit required
12,T1045,Amit Kaur,Uttar Pradesh,Patna,Block A,SCH057,Mission School No. 2,social science ,10,,Peer learning circles,2025-02-25, SUBMITTED,70,14%,21,,18.8,Ravi Kumar,1,2025-03-07 00:00:00,Follow-up visit required
13,T1039,Rohit Kaur,Nagaland,Varanasi,Block D,SCH045,Mission School West,Science,9,MI10049,Reading fluency project,2025-03-20,Rejected,5,38,42,4,15.9,Ravi Kumar,3,2025-03-28 00:00:00,Data not verified yet
14,T1031,Rohit Devi,Punjab,Ludhiana,Block A,SCH003,ZP School East,social science ,7,MI10114,Peer learning circles,25/01/2025,Rejected,36,18,33,15,13.9,John Doe,NA,2025-01-28 00:00:00,Need support with data entry
15,T1072,Neha Yadav,Nagaland,Kohima,Block B,SCH048,Model School East,maths,9,MI10036,Peer learning circles,2025-03-04,Approved,41,30,33,3%,8.3,Simran Kaur,4,2025-03-04 00:00:00,Great improvement shown
16,T1003,Amit Yadav,Bihar,Varanasi,Block C,SCH049,Model School East,sci,IX,MI10115,Reading fluency project,2025-03-04, Rejected,54,43,59,16,,John Doe,1,2025-03-05 00:00:00,Data not verified yet
17,T1034,Amit Singh,Punjab,Kohima,Block C,SCH022,Model School Central,Mathematic,10,MI10061,Improving basic numeracy,2025-04-06,Approved,13,120,24,-96,2 hrs,Ravi Kumar,3,2025-04-11 00:00:00,Great improvement shown
18,T1021, Rohit Kumar ,Bihar,Lucknow,Urban,SCH044,Model School East,Social Science,7,MI10107,Reading fluency project,2025-01-14,Approved,20,120,92%,NA,9.8,John Doe,4,2025-01-16 00:00:00,Teacher changed mid-term
19,T1079,Sunita Yadav,Nagaland,Lucknow,Block C,SCH055,ZP School No. 1,maths,8th,MI10060,Peer learning circles,2025-03-20,Approved,,41,41,0,10.3,Ravi Kumar,NA,2025-03-26 00:00:00,Teacher changed mid-term
20,T1063,Sunita Kumar,Bihar,Lucknow,Block B,SCH026,ZP School Central,SOC SCI  ,Ten,MI10071,Peer learning circles,2025-02-14, in review,50,58,61,3,3.8,John Doe,5,2025-02-22 00:00:00,
21,T1030,Neha Devi,Uttar Pradesh,Patna,Rural,SCH035,ZP School Central,Math  ,6,MI10090,Reading fluency project,23/03/2025,Rejected,-5,1,14,13,2 hrs,Ayesha Khan,1,2025-04-01 00:00:00,Data not verified yet
22,T1039,Priya Devi,Bihar,Dimapur,Urban,SCH039,ZP School West,Mathematic,8th,MI10039,Peer learning circles,2025-02-24,In-Review,30+,12,37,25,8.2,Anamika Singh,1,2025-02-27 00:00:00,Follow-up visit required
23,T1030, Rohit Kaur ,Punjab,Dimapur,Block A,SCH035,ZP School No. 2,maths,8,MI10022,Science lab activities,18/03/2025,In-Review,61,15,24,9%,,John Doe,5,2025-03-22 00:00:00,Need support with data entry
24,T1074,Rahul Kaur,Uttar Pradesh,Patna,Block B,SCH031,Model School Central,Science,Ten,MI10105,Homework support group,2025-01-12,Rejected,18,20,25,5%,,Simran Kaur,4,2025-01-20 00:00:00,Need support with data entry
25,T1025,Neha Das,Nagaland,Kohima,Block A,SCH014,Mission School West,Science,10,MI10090,Homework support group,2025-01-16,in review,35,20,24,4,2 hrs,Ravi Kumar,3,2025-01-24 00:00:00,Data not verified yet
26,T1032,Sunita Das,Punjab,Dimapur,Block B,SCH059,ZP School No. 1,maths,Class 7,MI10101,Peer learning circles,04/02/2025, Approved,80,74,90,16,6.4,Ravi Kumar,2,2025-02-13 00:00:00,Teacher changed mid-term
